Diametro(um),Cimento,Areia rio,Seixo menor,Seixo maior
19000,100,100,100,100
12500,100,100,100,43
9500,100,100,97,6
6300,100,100,100,0
4750,100,100,98,0
2360,100,87,43,0
1180,100,64,24,0
600,100,41,12,0
300,100,20,9,0
150,100,3,2,0
90,100,0,0,0
45,100,0,0,0
36,100,0,0,0
32,100,0,0,0
25,96,0,0,0
20,87,0,0,0
15,69,0,0,0
12,55,0,0,0
10,45,0,0,0
8,36,0,0,0
6,28,0,0,0
5,24,0,0,0
4,21,0,0,0
3.2,19,0,0,0
2.6,17,0,0,0
2,16,0,0,0
1.4,14,0,0,0
1,12,0,0,0
0.687,8,0,0,0
0.578,7,0,0,0
0.486,6,0,0,0
0.409,5,0,0,0
0.344,3,0,0,0

